"time","POM","LMWC","AGG","MIC","MAOM","CO2","year","date","TOC"
1,486.854996361456,2.03447623388625,1297.98408651001,6.32585868883593,3732.87969086016,0,2022,"2022-01-01",5526.07910865435
2,485.984939290454,2.01699657011281,1298.45106607383,6.25486535014589,3733.07394452677,0.295295342993779,2022,"2022-01-02",5525.78181181131
3,485.16650865437,1.98768787003098,1298.90260516074,6.18352563629765,3733.26354366975,0.571258217331591,2022,"2022-01-03",5525.50387099118
4,484.396794822937,1.9514863850198,1299.33948055463,6.11147911221107,3733.44600893458,0.82793418365304,2022,"2022-01-04",5525.24524980938
5,483.671538724724,1.91197777536912,1299.76240718565,6.03872926721744,3733.61998077171,1.06664266375577,2022,"2022-01-05",5525.00463372467
6,482.985706438809,1.87187784395413,1300.17203526979,5.9655087860141,3733.78487817709,1.28940179813197,2022,"2022-01-06",5524.78000651566
7,482.33361345798,1.83331143715008,1300.5689401849,5.89221970167796,3733.94077518367,1.49871925047493,2022,"2022-01-07",5524.56885996538
8,481.710926502328,1.7971921916576,1300.95363032287,5.81923069364226,3734.08815514431,1.69665216005038,2022,"2022-01-08",5524.36913485481
9,481.115790089194,1.76309677136532,1301.32657200504,5.74673346149188,3734.22757300923,1.88426405622678,2022,"2022-01-09",5524.17976533632
10,480.546979255591,1.73057759474311,1301.68821315453,5.67483783900316,3734.35942545055,2.06227136890301,2022,"2022-01-10",5524.00003329441
11,480.003066146454,1.69942864871166,1302.03897877237,5.60365187990025,3734.48406536903,2.23142051474398,2022,"2022-01-11",5523.82919081647
12,479.483903263012,1.66892947834661,1302.37927967408,5.5331704965223,3734.60173169715,2.39193374515733,2022,"2022-01-12",5523.66701460911
13,478.988837608596,1.63890526456157,1302.70952084795,5.46339856043146,3734.71250731106,2.54414570852808,2022,"2022-01-13",5523.5131695926
14,478.516086363523,1.60976812314445,1303.03008547064,5.39442878641525,3734.81654541315,2.68879732703889,2022,"2022-01-14",5523.36691415688
15,478.064202445204,1.58166538766912,1303.34133291094,5.32633848804173,3734.91407796078,2.82651873323219,2022,"2022-01-15",5523.22761719263
16,477.632463955033,1.5543603823353,1303.64360547193,5.25915018842725,3735.00533027882,2.95767741021727,2022,"2022-01-16",5523.09491027654
17,477.220174465433,1.52772273212502,1303.93723493353,5.1928738988587,3735.09046096037,3.08259910064802,2022,"2022-01-17",5522.96846699031
18,476.82601847043,1.50196631802287,1304.22256416852,5.12756405313811,3735.16965915792,3.20179807484349,2022,"2022-01-18",5522.84777216803
19,476.4486002322,1.47732927527769,1304.49988708635,5.06328733018498,3735.24317053709,3.31582469069082,2022,"2022-01-19",5522.7322744611
20,476.086453096203,1.45407481694517,1304.76945247936,5.00012034945707,3735.3112946649,3.42525632954957,2022,"2022-01-20",5522.62139540687
21,475.738161091107,1.43235739116147,1305.03151647376,4.93813988155358,3735.37440430832,3.53064738332203,2022,"2022-01-21",5522.5145791459
22,475.403088610026,1.41186558945098,1305.2863446261,4.87736408247038,3735.43286675561,3.63229231718254,2022,"2022-01-22",5522.41152966366
23,475.081019129831,1.39221906419979,1305.53417080919,4.81776839090765,3735.48693185973,3.73032785154077,2022,"2022-01-23",5522.31210925386
24,474.771588936635,1.37325207847061,1305.77519976449,4.75933149596819,3735.53678051337,3.82491850037207,2022,"2022-01-24",5522.21615278893
25,474.473870210652,1.35514011573071,1306.00967419718,4.70206880981659,3735.58259650993,3.91637385201829,2022,"2022-01-25",5522.12334984331
26,474.187346314167,1.33777393979273,1306.23779949044,4.64597385841391,3735.62460232307,4.00489752112565,2022,"2022-01-26",5522.03349592588
27,473.908728388867,1.31994588998043,1306.46269695771,4.59118356060286,3735.6636407037,4.09086735648184,2022,"2022-01-27",5521.94619550086
28,473.637981121157,1.30200000828538,1306.68432649737,4.53760946265339,3735.69952185877,4.17429401469693,2022,"2022-01-28",5521.86143894823
29,473.377197849539,1.28424448001111,1306.90107859437,4.48507939357189,3735.73184401424,4.2549693744572,2022,"2022-01-29",5521.77944433173
30,473.127290325388,1.26608381082024,1307.11306261956,4.4334751991322,3735.76052810847,4.33266543630972,2022,"2022-01-30",5521.70044006337
31,472.8894464027,1.247910508485,1307.31930995029,4.38267936634042,3735.78519136811,4.40727817101239,2022,"2022-01-31",5521.62453759592
32,472.662220617895,1.23045212911614,1307.52000463391,4.33274557978796,3735.80591295942,4.47920834119264,2022,"2022-02-01",5521.55133592013
33,472.445285800213,1.21352917412761,1307.71533394904,4.28366809824151,3735.82288603634,4.54858714430613,2022,"2022-02-02",5521.48070305796
34,472.240360695332,1.19581611276864,1307.90550923321,4.23529349598145,3735.83608602972,4.61498798553196,2022,"2022-02-03",5521.41306556701
35,472.049016960005,1.17650527898248,1308.09074443979,4.18744986391554,3735.84514834473,4.67797079440146,2022,"2022-02-04",5521.34886488743
36,471.870992770799,1.15607544564913,1308.27125714268,4.1400823591217,3735.84967806187,4.73755229994779,2022,"2022-02-05",5521.28808578013
37,471.705235537288,1.13532041465133,1308.44723566074,4.09320875127974,3735.8494783829,4.79398282743973,2022,"2022-02-06",5521.23047874686
38,471.550624840111,1.11484949746245,1308.61886880734,4.04686957556275,3735.84453924027,4.84755422203481,2022,"2022-02-07",5521.17575196075
39,471.404998669531,1.09578427587149,1308.78632479461,4.00118694965526,3735.83505793152,4.89881850971309,2022,"2022-02-08",5521.12335262119
40,471.266834132744,1.07849269901989,1308.94974307073,3.95626312168997,3735.82150733842,4.94821422476975,2022,"2022-02-09",5521.07284036261
41,471.136614602238,1.062055084426,1309.10927264631,3.91206453466506,3735.80424436811,4.99570384112098,2022,"2022-02-10",5521.02425123575
42,471.014917726649,1.04580258567981,1309.26504106886,3.86853216952992,3735.78338512524,5.04119356022142,2022,"2022-02-11",5520.97767867595
43,470.900767728003,1.03022969249028,1309.41718791333,3.82569798706628,3735.75900862078,5.08491381211625,2022,"2022-02-12",5520.93289194166
44,470.783742977754,1.01220022664401,1309.57713104151,3.78399173416716,3735.73166004427,5.12794933627818,2022,"2022-02-13",5520.88872602434
45,470.66278548331,0.994426522058489,1309.74489264739,3.74305852343161,3735.70046141843,5.16985584402485,2022,"2022-02-14",5520.84562459461
46,470.542486869465,0.979147690264673,1309.91433318009,3.70260354453944,3735.66553285969,5.21015623408452,2022,"2022-02-15",5520.80410414406
47,470.423413965488,0.966670565805871,1310.08378287031,3.66265595453262,3735.62749596399,5.24900375987444,2022,"2022-02-16",5520.76401932013
48,470.308670209438,0.956652868150412,1310.24844410905,3.62360703392542,3735.58721727465,5.28720847312572,2022,"2022-02-17",5520.72459149521
49,470.198918639209,0.947815190738624,1310.40846145305,3.58542370264263,3735.54524473242,5.32472511076514,2022,"2022-02-18",5520.68586371807
50,470.087130652999,0.941466934770439,1310.57423977017,3.54634930134906,3735.50177711623,5.35834402869689,2022,"2022-02-19",5520.65096377552
