"year","month","day","dayofyear","radn_MJm2","radn_Ld","radn_Wm2","maxt_C","mint_C","rain_mm","rain_cm","meanw_ms","tavg"
2022,1,1,1,3.37092192,80.5131422274409,39.0153,-6.8638823674989,9.63220652745473,1.12792074193877,0.112792074193877,1.6233,3.1098
2022,1,2,2,1.0073376,24.0598617780649,11.659,0.348417632501098,11.8503065274547,27.9989207419388,2.79989207419388,5.371,7.825
2022,1,3,3,7.75702656,185.273523833894,89.7804,-8.6314823674989,5.52280652745473,2.57092074193877,0.257092074193877,5.7204,0.1713
2022,1,4,4,5.450976,130.194414579133,63.09,-3.4023823674989,7.43090652745473,-0.0930792580612333,-0.00930792580612333,5.3332,3.7399
2022,1,5,5,7.24584096,173.064057137787,83.8639,-3.3281823674989,10.0673065274547,-0.0930792580612333,-0.00930792580612333,3.9746,5.0952
2022,1,6,6,8.44878816,201.795977159744,97.7869,-7.9723823674989,8.47540652745473,-0.0930792580612333,-0.00930792580612333,4.1752,1.97715
2022,1,7,7,6.11064864,145.950435735467,70.7251,-5.6397823674989,8.51750652745473,5.08392074193877,0.508392074193877,5.1113,3.1645
2022,1,8,8,5.38188192,128.544129695016,62.2903,-9.6193823674989,0.0118065274547323,3.09392074193877,0.309392074193877,7.7312,-3.07815
2022,1,9,9,9.0319104,215.723622165862,104.536,-16.6793823674989,0.416006527454734,-0.0930792580612333,-0.00930792580612333,6.8607,-6.40605
2022,1,10,10,3.18084192,75.9731563013973,36.8153,-16.6941823674989,1.43030652745473,1.62192074193877,0.162192074193877,2.5717,-5.9063
2022,1,11,11,1.20011328,28.6642329590596,13.8902,-9.6291823674989,1.96330652745473,4.98692074193877,0.498692074193877,5.1248,-2.1073
2022,1,12,12,8.4499632,201.824042527286,97.8005,-9.3667823674989,-1.44059347254527,1.16792074193877,0.116792074193877,5.3594,-3.67805
2022,1,13,13,5.87488896,140.319408646197,67.9964,-16.6627823674989,-2.25759347254527,7.28192074193877,0.728192074193877,4.1853,-7.73455
2022,1,14,14,4.98619584,119.09332353797,57.7106,-14.0445823674989,-0.0719934725452678,9.59092074193877,0.959092074193877,3.8984,-5.33265
2022,1,15,15,7.70811552,184.105302909925,89.2143,-10.2943823674989,2.54050652745473,2.20192074193877,0.220192074193877,4.7399,-2.1513
2022,1,16,16,8.54986752,204.210217857416,98.9568,-17.0867823674989,-1.78649347254527,0.333920741938767,0.0333920741938767,2.2089,-7.711
2022,1,17,17,6.41113056,153.127328032556,74.2029,-17.1340823674989,-0.350393472545267,-0.0930792580612333,-0.00930792580612333,1.7936,-7.0166
